OBJECTID	Collection	lat	long	xco2	MoYr
1	11/22/2017 0:00	48.4435	-119.177	0.000396802	201711
2	11/22/2017 0:00	48.4299	-119.14	0.000379245	201711
3	11/22/2017 0:00	48.5513	-119.237	0.000413819	201711
4	11/22/2017 0:00	48.5519	-119.23	0.000414002	201711
5	11/22/2017 0:00	48.5796	-119.26	0.000376819	201711
6	11/22/2017 0:00	48.5335	-119.208	0.000369905	201711
7	11/22/2017 0:00	48.5341	-119.202	0.000373668	201711
8	11/22/2017 0:00	48.6117	-119.281	0.000412005	201711
9	11/22/2017 0:00	48.5702	-119.228	0.000383398	201711
10	11/22/2017 0:00	48.5523	-119.212	0.00038748	201711
11	11/22/2017 0:00	48.6127	-119.275	0.000411972	201711
12	11/22/2017 0:00	48.5848	-119.239	0.000366916	201711
13	11/22/2017 0:00	48.5709	-119.222	0.000383217	201711
14	11/22/2017 0:00	48.5525	-119.206	0.000386715	201711
15	11/22/2017 0:00	48.5346	-119.19	0.000375924	201711
16	11/22/2017 0:00	48.6144	-119.268	0.000411833	201711
17	11/22/2017 0:00	48.5712	-119.216	0.000380767	201711
18	11/22/2017 0:00	48.5524	-119.2	0.000378341	201711
19	11/22/2017 0:00	48.5341	-119.185	0.000379344	201711
20	11/22/2017 0:00	48.6197	-119.26	0.000412008	201711
21	11/22/2017 0:00	48.5858	-119.227	0.000373275	201711
22	11/22/2017 0:00	48.5704	-119.211	0.000375602	201711
23	11/22/2017 0:00	48.6783	-119.324	0.000395235	201711
24	11/22/2017 0:00	48.6207	-119.254	0.000412166	201711
25	11/22/2017 0:00	48.5858	-119.222	0.000370712	201711
26	11/22/2017 0:00	48.6338	-119.266	0.000407536	201711
27	11/22/2017 0:00	48.5852	-119.216	0.000382897	201711
28	11/22/2017 0:00	48.6341	-119.26	0.000400106	201711
29	11/29/2017 0:00	45.8674	-119.259	0.000407747	201711
30	11/29/2017 0:00	45.9678	-119.329	0.000411291	201711
31	11/29/2017 0:00	45.9705	-119.322	0.000410211	201711
32	11/29/2017 0:00	45.9549	-119.306	0.000412882	201711
33	11/29/2017 0:00	45.9893	-119.325	0.000407242	201711
34	11/29/2017 0:00	45.9738	-119.309	0.000407189	201711
35	11/29/2017 0:00	46.0389	-119.365	0.000404386	201711
36	11/29/2017 0:00	45.9906	-119.318	0.000405962	201711
37	11/29/2017 0:00	46.0411	-119.359	0.000402593	201711
38	11/29/2017 0:00	46.0251	-119.343	0.000407333	201711
39	11/29/2017 0:00	46.0591	-119.368	0.000406415	201711
40	11/29/2017 0:00	46.0269	-119.336	0.000406168	201711
41	11/29/2017 0:00	46.0445	-119.345	0.000406697	201711
42	11/29/2017 0:00	46.0111	-119.315	0.000407706	201711
43	11/29/2017 0:00	46.062	-119.355	0.000406266	201711
44	11/29/2017 0:00	46.0458	-119.339	0.000404935	201711
45	11/29/2017 0:00	46.029	-119.324	0.000407457	201711
46	11/29/2017 0:00	46.0634	-119.349	0.000407828	201711
47	11/29/2017 0:00	46.0292	-119.319	0.000406588	201711
48	11/29/2017 0:00	46.1304	-119.399	0.000407858	201711
49	11/29/2017 0:00	46.0822	-119.352	0.000408905	201711
50	11/29/2017 0:00	46.0651	-119.337	0.000403852	201711
51	11/29/2017 0:00	46.163	-119.425	0.000406645	201711
52	11/29/2017 0:00	46.0829	-119.347	0.000408365	201711
53	11/29/2017 0:00	46.1647	-119.418	0.000409172	201711
54	11/29/2017 0:00	46.0829	-119.341	0.000409255	201711
55	11/29/2017 0:00	46.2121	-119.46	0.00040483	201711
56	11/29/2017 0:00	46.1968	-119.444	0.000405157	201711
57	11/29/2017 0:00	46.1659	-119.412	0.00040601	201711
58	11/29/2017 0:00	46.2143	-119.454	0.000402942	201711
59	11/29/2017 0:00	46.1982	-119.438	0.00040656	201711
60	11/29/2017 0:00	46.1827	-119.422	0.00040006	201711
61	11/29/2017 0:00	46.1669	-119.406	0.000405464	201711
62	11/29/2017 0:00	46.1993	-119.431	0.000405837	201711
63	11/29/2017 0:00	46.1679	-119.4	0.000405581	201711
64	11/29/2017 0:00	46.1846	-119.409	0.000404176	201711
65	11/29/2017 0:00	46.1683	-119.394	0.000404552	201711
66	11/29/2017 0:00	46.1516	-119.379	0.000406084	201711
67	11/29/2017 0:00	46.278	-119.499	0.000406471	201711
68	11/29/2017 0:00	46.1685	-119.389	0.00040276	201711
69	11/29/2017 0:00	46.2798	-119.493	0.000405255	201711
70	11/29/2017 0:00	46.2969	-119.502	0.000404601	201711
71	11/29/2017 0:00	46.3315	-119.528	0.000408818	201711
72	11/29/2017 0:00	46.3148	-119.512	0.000409341	201711
73	11/29/2017 0:00	46.2331	-119.434	0.000403167	201711
74	11/29/2017 0:00	46.3503	-119.537	0.000409164	201711
75	11/29/2017 0:00	46.3336	-119.521	0.000410318	201711
76	11/29/2017 0:00	46.3159	-119.506	0.000409886	201711
77	11/29/2017 0:00	46.2992	-119.49	0.000403944	201711
78	11/29/2017 0:00	46.2672	-119.459	0.000406711	201711
79	11/29/2017 0:00	46.2329	-119.429	0.000402179	201711
80	11/29/2017 0:00	46.3675	-119.546	0.000406568	201711
81	11/29/2017 0:00	46.3527	-119.53	0.000408751	201711
82	11/29/2017 0:00	46.3167	-119.499	0.000408206	201711
83	11/29/2017 0:00	46.2999	-119.484	0.000404549	201711
84	11/29/2017 0:00	46.284	-119.468	0.000405756	201711
85	11/29/2017 0:00	46.2512	-119.438	0.000407505	201711
86	11/29/2017 0:00	46.3844	-119.556	0.000399393	201711
87	11/29/2017 0:00	46.3683	-119.54	0.000402378	201711
88	11/29/2017 0:00	46.3532	-119.524	0.000408903	201711
89	11/29/2017 0:00	46.317	-119.494	0.000407018	201711
90	11/29/2017 0:00	46.3005	-119.478	0.00040445	201711
91	11/29/2017 0:00	46.401	-119.566	0.000397006	201711
92	11/29/2017 0:00	46.3856	-119.55	0.000397782	201711
93	11/29/2017 0:00	46.3693	-119.534	0.000396306	201711
94	11/29/2017 0:00	46.3532	-119.518	0.000404974	201711
95	11/29/2017 0:00	46.3177	-119.488	0.000405924	201711
96	11/29/2017 0:00	46.4174	-119.576	0.000403163	201711
97	11/29/2017 0:00	46.4023	-119.56	0.000399741	201711
98	11/29/2017 0:00	46.3866	-119.544	0.000399708	201711
99	11/29/2017 0:00	46.3703	-119.528	0.000398131	201711
100	11/29/2017 0:00	46.3185	-119.482	0.000405224	201711
101	11/29/2017 0:00	46.3016	-119.467	0.000405782	201711
102	11/29/2017 0:00	46.4189	-119.57	0.000403479	201711
103	11/29/2017 0:00	46.4035	-119.554	0.000405077	201711
104	11/29/2017 0:00	46.3876	-119.538	0.000402337	201711
105	11/29/2017 0:00	46.3714	-119.522	0.00040182	201711
