year,state,month,number,date
1998,Acre,January,0,1/1/1998
1998,Acre,February,0,1/1/1998
1998,Acre,March,0,1/1/1998
1998,Acre,April,0,1/1/1998
1998,Acre,May,0,1/1/1998
1998,Acre,June,3,1/1/1998
1998,Acre,July,37,1/1/1998
1998,Acre,August,130,1/1/1998
1998,Acre,September,509,1/1/1998
1998,Acre,October,44,1/1/1998
1998,Acre,November,0,1/1/1998
1998,Acre,December,7,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,0,1/1/1998
1998,Alagoas,December,1,1/1/1998
1998,Alagoas,December,14,1/1/1998
1998,Alagoas,December,20,1/1/1998
1998,Alagoas,December,19,1/1/1998
1998,Alagoas,December,32,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,0,1/1/1998
1998,Amapa,December,1,1/1/1998
1998,Amapa,December,20,1/1/1998
1998,Amapa,December,42,1/1/1998
1998,Amapa,December,131,1/1/1998
1998,Amapa,December,84,1/1/1998
1998,Amazonas,December,0,1/1/1998
1998,Amazonas,December,0,1/1/1998
1998,Amazonas,December,0,1/1/1998
1998,Amazonas,December,0,1/1/1998
1998,Amazonas,December,0,1/1/1998
1998,Amazonas,December,2,1/1/1998
1998,Amazonas,December,71,1/1/1998
1998,Amazonas,December,321,1/1/1998
1998,Amazonas,December,267,1/1/1998
1998,Amazonas,December,83,1/1/1998
1998,Amazonas,December,6,1/1/1998
1998,Amazonas,December,196,1/1/1998
1998,Bahia,December,0,1/1/1998
1998,Bahia,December,0,1/1/1998
1998,Bahia,December,0,1/1/1998
1998,Bahia,December,0,1/1/1998
1998,Bahia,December,0,1/1/1998
1998,Bahia,December,55,1/1/1998
1998,Bahia,December,219,1/1/1998
1998,Bahia,December,815,1/1/1998
1998,Bahia,December,2.718,1/1/1998
1998,Bahia,December,1.969,1/1/1998
1998,Bahia,December,49,1/1/1998
1998,Bahia,December,82,1/1/1998
1998,Ceara,December,0,1/1/1998
1998,Ceara,December,0,1/1/1998
1998,Ceara,December,0,1/1/1998
1998,Ceara,December,0,1/1/1998
1998,Ceara,December,0,1/1/1998
1998,Ceara,December,1,1/1/1998
1998,Ceara,December,76,1/1/1998
1998,Ceara,December,93,1/1/1998
1998,Ceara,December,590,1/1/1998
1998,Ceara,December,1.014,1/1/1998
1998,Ceara,December,575,1/1/1998
1998,Ceara,December,276,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,2,1/1/1998
1998,Distrito Federal,December,17,1/1/1998
1998,Distrito Federal,December,48,1/1/1998
1998,Distrito Federal,December,33,1/1/1998
1998,Distrito Federal,December,3,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Distrito Federal,December,0,1/1/1998
1998,Espirito Santo,December,0,1/1/1998
1998,Espirito Santo,December,0,1/1/1998
1998,Espirito Santo,December,0,1/1/1998
1998,Espirito Santo,December,0,1/1/1998
1998,Espirito Santo,December,0,1/1/1998
1998,Espirito Santo,December,6,1/1/1998
1998,Espirito Santo,December,37,1/1/1998
1998,Espirito Santo,December,38,1/1/1998
1998,Espirito Santo,December,108,1/1/1998
1998,Espirito Santo,December,20,1/1/1998
1998,Espirito Santo,December,4,1/1/1998
1998,Espirito Santo,December,5,1/1/1998
1998,Goias,December,0,1/1/1998
1998,Goias,December,0,1/1/1998
1998,Goias,December,0,1/1/1998
1998,Goias,December,0,1/1/1998
1998,Goias,December,0,1/1/1998
1998,Goias,December,172,1/1/1998
1998,Goias,December,512,1/1/1998
1998,Goias,December,2.218,1/1/1998
1998,Goias,December,2.867,1/1/1998
1998,Goias,December,1.034,1/1/1998
1998,Goias,December,47,1/1/1998
1998,Goias,December,13,1/1/1998
1998,Maranhao,December,0,1/1/1998
1998,Maranhao,December,0,1/1/1998
1998,Maranhao,December,0,1/1/1998
1998,Maranhao,December,0,1/1/1998
1998,Maranhao,December,0,1/1/1998
1998,Maranhao,December,78,1/1/1998
1998,Maranhao,December,274,1/1/1998
1998,Maranhao,December,1.176,1/1/1998
1998,Maranhao,December,3.935,1/1/1998
1998,Maranhao,December,5.137,1/1/1998
1998,Maranhao,December,2.237,1/1/1998
1998,Maranhao,December,1.399,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,2.201,1/1/1998
1998,Mato Grosso,December,3.712,1/1/1998
1998,Mato Grosso,December,15.406,1/1/1998
1998,Mato Grosso,December,10.363,1/1/1998
1998,Mato Grosso,December,2.707,1/1/1998
1998,Mato Grosso,December,182,1/1/1998
1998,Mato Grosso,December,76,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,0,1/1/1998
1998,Mato Grosso,December,82,1/1/1998
1998,Mato Grosso,December,360,1/1/1998
1998,Mato Grosso,December,228,1/1/1998
1998,Mato Grosso,December,457,1/1/1998
1998,Mato Grosso,December,576,1/1/1998
1998,Mato Grosso,December,306,1/1/1998
1998,Mato Grosso,December,100,1/1/1998
